original_archive	original_filename	extracted_path	sha256	module	semester	material_type	academic_year	source	provenance	classification_confidence	organized_location	duplicate_status	duplicate_of	content_status	notes	subtopic	integration_status	canonical_info
L1---informatique-part-01.zip	L1---informatique/OPM exam info_lmd_saad dahleb.pdf	extracted/L1---informatique-part-01/L1---informatique/OPM exam info_lmd_saad dahleb.pdf	84fd0d04f9d956e7679ff8f825860544f7c404cb18d724ae2498713163034a99	UNCLASSIFIED	UNCLASSIFIED	OTHER	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/UNCLASSIFIED/Autres/OPM exam info_lmd_saad dahleb.pdf	NEW		PDF_NO_TEXT_LAYER (1p)		general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Examen_Final_et_Corrigé_Sujet_1 (1).pdf	extracted/L1---informatique-part-01/L1---informatique/Examen_Final_et_Corrigé_Sujet_1 (1).pdf	f7101db7444cda55e459eef787c9473e5d53184a26fe94b9df3a2d82e1c45bb6	UNCLASSIFIED	UNCLASSIFIED	EXAM_CORRECTION	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/UNCLASSIFIED/Autres/Examen_Final_et_Corrigé_Sujet_1 (1).pdf	NEW		PDF_NO_TEXT_LAYER (6p)		general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/adverbs lesson 6.pdf	extracted/L1---informatique-part-01/L1---informatique/adverbs lesson 6.pdf	496551679a285ab8619c05a844a8826985dc1a248e97c6251606bd2982a3f76d	S1/Anglais-1-TCE-1	S1	OTHER	2019-2020	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Anglais-1-TCE-1/Autres/adverbs lesson 6.pdf	NEW		pdf_parsed (4p)		general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Philosophie_de_Richard_Stallman_en_anglais_9bd3c35a1bb936dfca937e9fabfc956f.pdf	extracted/L1---informatique-part-01/L1---informatique/Philosophie_de_Richard_Stallman_en_anglais_9bd3c35a1bb936dfca937e9fabfc956f.pdf	ff179e2cc6b4f8d5059889ec21a733208cadcfaa49b8b1664891a018acfed71f	S1/Logiciels-libres	S1	PROJECT	ACADEMIC_YEAR_UNKNOWN	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Logiciels-libres/Supports/Philosophie_de_Richard_Stallman_en_anglais_9bd3c35a1bb936dfca937e9fabfc956f.pdf	NEW		pdf_parsed (6p)		philosophie-du-libre	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/chapter 1open source_0aa30ce6ad6af56e1a5964d4a704d1f4 (1).pdf	extracted/L1---informatique-part-01/L1---informatique/chapter 1open source_0aa30ce6ad6af56e1a5964d4a704d1f4 (1).pdf	4489dae0974a1f8037715ff53fac6a2feb4dc4863407e1632763100e86126841	S1/Logiciels-libres	S1	CHAPTER	ACADEMIC_YEAR_UNKNOWN	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Logiciels-libres/Cours/chapter 1open source_0aa30ce6ad6af56e1a5964d4a704d1f4 (1).pdf	NEW		pdf_parsed (7p)		philosophie-du-libre	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/7_Examen Algebre1 avec solution.pdf	extracted/L1---informatique-part-01/L1---informatique/7_Examen Algebre1 avec solution.pdf	cc5e768696b65e72f49bb3a6f64b2407af98a2684419e5a0452e03857ce938c4	S1/Algebre-1	S1	EXAM	2022-2023	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	MEDIUM	organized/S1/Algebre-1/Examens/7_Examen Algebre1 avec solution.pdf	NEW		pdf_parsed (4p)	contradiction nom/contenu (contenu->S1/Algorithmique-1)	general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/4_Examen Algebre1 avec solution.pdf	extracted/L1---informatique-part-01/L1---informatique/4_Examen Algebre1 avec solution.pdf	dc3f14913b62aefc470d56c8002e65fc3e6676390d44ec0c11c26a0f12c61253	S1/Algebre-1	S1	EXAM	ACADEMIC_YEAR_UNKNOWN	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	MEDIUM	organized/S1/Algebre-1/Examens/4_Examen Algebre1 avec solution.pdf	NEW		pdf_parsed (6p)	contradiction nom/contenu (contenu->S1/Analyse-1); nombre 4-chiffres nu dans le texte, non retenu comme preuve d'annee	general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Examen1+Solution Algèbre 1.pdf	extracted/L1---informatique-part-01/L1---informatique/Examen1+Solution Algèbre 1.pdf	7b5a976e9df59ac83235c15fc618b0c450a9e352c13a47dc759b555452dc1462	S1/Algebre-1	S1	EXAM	2022-2023	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	MEDIUM	organized/S1/Algebre-1/Examens/Examen1+Solution Algèbre 1.pdf	NEW		pdf_parsed (4p)	contradiction nom/contenu (contenu->S1/Algorithmique-1)	general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/exercices corriges logique.pdf	extracted/L1---informatique-part-01/L1---informatique/exercices corriges logique.pdf	e8a3662d4f1bdd3f2fb95f3b68a709bd414dbf71671639689e555b38c60ea40c	S2/Logique-mathematique	S2	CORRECTION	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	HIGH	organized/S2/Logique-mathematique/Corriges/exercices corriges logique.pdf	NEW		pdf_parsed (8p)		logique-des-propositions	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/SM TD2- prof Ziani.pdf	extracted/L1---informatique-part-01/L1---informatique/SM TD2- prof Ziani.pdf	7d1ef9e285a0bd87c94972a33d43dec1d0a8153f016e4b7c3a7e3ce77e30bd25	S1/Structure-de-machine-1	S1	OTHER	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Structure-de-machine-1/Autres/SM TD2- prof Ziani.pdf	NEW		pdf_parsed (1p)		numérations	PLACED_CANONICAL	canonical
