module	semestre	materiel	type	annee_universitaire	source_provenance	url_acces	obtenu	verification	note
Structure Machine 1	S1	Cours Chapitres 1-4 (4 PDF)	cours	2019-2020	OFFICIAL_UBMA	elearning-deprecated view.php?id=12440..12443 (pluginfile 29143-29146)	CAPTURE_TEXTE(ch1 complet parsé; ch2-4 inventoriés avec URLs)	parsé OK — contenu architecture/vrai	Enseignante: N. Kobsi; guest-accessible
Structure Machine 1	S1	Chapitre1 "Système de numérotation" (PPT)	cours	2020-2021	OFFICIAL_UBMA	view.php?id=34609	INVENTORIE	non capturé	Année affichée dans titre de cours 3968
Structure Machine 1	S1	Programme de la Matière (doc)	programme	2020-2021	OFFICIAL_UBMA	view.php?id=34486	INVENTORIE	non capturé	document de programme officiel du module
Structure Machine 1	S1	Emploi du Temps S1 2020/2021 (xlsx)	emploi du temps	2020-2021	OFFICIAL_UBMA	view.php?id=34876	INVENTORIE	non capturé	emploi du temps réel S1 (historique, NON officiel pour 2026/2027)
Structure Machine 1	S1	Liste des étudiants 2020/2021	liste nominative	2020-2021	OFFICIAL_UBMA	view.php?id=34877	EXCLU	—	données personnelles — exclusion volontaire (vie privée), non archiver
Structure Machine 1	S1	Examen1..8 Structure Machine 1.pdf ×8	examens	non daté (Telegram)	UNKNOWN	msg-id Telegram 4993-5000	NON_OBTENU	0/8 — pas de copie publique trouvée (GitHub 0; web: forums seulement); hachages utilisateur = référence NON VERIFIEE	ne PAS présenter comme téléchargés
Algorithmique & Structures de Données 1	S1	Cours "ASD1 2020-2021 Coef4 Crédits6" (id 3967)	cours	2020-2021	OFFICIAL_UBMA	course/view.php?id=3967	INVENTORIE	page non énumérée (bug proxy)	guest OK; enseignant N. Zehouani
Algorithmique & Structures de Données 2	S2	Examen EMD Juin 2019 (C, listes chaînées)	examen	2018-2019	OFFICIAL_UBMA	pluginfile.php/60296/.../Examen%202018-2019.pdf	CAPTURE_TEXTE_INTEGRALE	parsé + sauvegardé (captures/…/capture-ASD2-examen-2018-2019.md)	1 page, énoncé complet capturé
Analyse 1	S1	Cours "Analyse 1 S1 2020-2021 Coef4 Crédits6" (id 3971)	cours	2020-2021	OFFICIAL_UBMA	course/view.php?id=3971	INVENTORIE	page non énumérée	guest OK; S. Kouachi / L. Salah Derradji
Analyse 2	S2	Cours "Analyse 2" (id 1202)	cours	2019-2020 (estimation)	OFFICIAL_UBMA	course/view.php?id=1202	INVENTORIE	—	guest OK; L. Salah Derradji
